Date,PoslednaCena,Max,Min,SMA_20,EMA_20,WMA_20,HMA_20,TMA_20,RSI,MACD,CCI,ADX,Stoch,Signal,Start Date,End Date
2019-03-15,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-03-15,2019-03-15
2019-03-16,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-03-16,2019-03-16
2019-03-17,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-03-17,2019-03-17
2019-03-18,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-03-18,2019-03-18
2019-03-19,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-03-19,2019-03-19
2019-03-20,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-03-20,2019-03-20
2019-03-21,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-03-21,2019-03-21
2019-03-22,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-03-22,2019-03-22
2019-03-23,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-03-23,2019-03-23
2019-03-24,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-03-24,2019-03-24
2019-03-25,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-03-25,2019-03-25
2019-03-26,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-03-26,2019-03-26
2019-03-27,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-03-27,2019-03-27
2019-03-28,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-03-28,2019-03-28
2019-03-29,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-03-29,2019-03-29
2019-03-30,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-03-30,2019-03-30
2019-03-31,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-03-31,2019-03-31
2019-04-01,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-01,2019-04-01
2019-04-02,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-02,2019-04-02
2019-04-03,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-03,2019-04-03
2019-04-04,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-04,2019-04-04
2019-04-05,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-05,2019-04-05
2019-04-06,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-06,2019-04-06
2019-04-07,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-07,2019-04-07
2019-04-08,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-08,2019-04-08
2019-04-09,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-09,2019-04-09
2019-04-10,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-10,2019-04-10
2019-04-11,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-11,2019-04-11
2019-04-12,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-12,2019-04-12
2019-04-13,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-13,2019-04-13
2019-04-14,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-14,2019-04-14
2019-04-15,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-15,2019-04-15
2019-04-16,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-16,2019-04-16
2019-04-17,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-17,2019-04-17
2019-04-18,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-18,2019-04-18
2019-04-19,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-19,2019-04-19
2019-04-20,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-20,2019-04-20
2019-04-21,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-21,2019-04-21
2019-04-22,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-22,2019-04-22
2019-04-23,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-23,2019-04-23
2019-04-24,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-24,2019-04-24
2019-04-25,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-25,2019-04-25
2019-04-26,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-26,2019-04-26
2019-04-27,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-27,2019-04-27
2019-04-28,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-28,2019-04-28
2019-04-29,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-29,2019-04-29
2019-04-30,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-04-30,2019-04-30
2019-05-01,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-01,2019-05-01
2019-05-02,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-02,2019-05-02
2019-05-03,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-03,2019-05-03
2019-05-04,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-04,2019-05-04
2019-05-05,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-05,2019-05-05
2019-05-06,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-06,2019-05-06
2019-05-07,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-07,2019-05-07
2019-05-08,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-08,2019-05-08
2019-05-09,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-09,2019-05-09
2019-05-10,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-10,2019-05-10
2019-05-11,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-11,2019-05-11
2019-05-12,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-12,2019-05-12
2019-05-13,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-13,2019-05-13
2019-05-14,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-14,2019-05-14
2019-05-15,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-15,2019-05-15
2019-05-16,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-16,2019-05-16
2019-05-17,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-17,2019-05-17
2019-05-18,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-18,2019-05-18
2019-05-19,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-19,2019-05-19
2019-05-20,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-20,2019-05-20
2019-05-21,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-21,2019-05-21
2019-05-22,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-22,2019-05-22
2019-05-23,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-23,2019-05-23
2019-05-24,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-24,2019-05-24
2019-05-25,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-25,2019-05-25
2019-05-26,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-26,2019-05-26
2019-05-27,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-27,2019-05-27
2019-05-28,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-28,2019-05-28
2019-05-29,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-29,2019-05-29
2019-05-30,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-30,2019-05-30
2019-05-31,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-05-31,2019-05-31
2019-06-01,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-01,2019-06-01
2019-06-02,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-02,2019-06-02
2019-06-03,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-03,2019-06-03
2019-06-04,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-04,2019-06-04
2019-06-05,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-05,2019-06-05
2019-06-06,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-06,2019-06-06
2019-06-07,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-07,2019-06-07
2019-06-08,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-08,2019-06-08
2019-06-09,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-09,2019-06-09
2019-06-10,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-10,2019-06-10
2019-06-11,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-11,2019-06-11
2019-06-12,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-12,2019-06-12
2019-06-13,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-13,2019-06-13
2019-06-14,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-14,2019-06-14
2019-06-15,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-15,2019-06-15
2019-06-16,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-16,2019-06-16
2019-06-17,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-17,2019-06-17
2019-06-18,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-18,2019-06-18
2019-06-19,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-19,2019-06-19
2019-06-20,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-20,2019-06-20
2019-06-21,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-21,2019-06-21
2019-06-22,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-22,2019-06-22
2019-06-23,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-23,2019-06-23
2019-06-24,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-24,2019-06-24
2019-06-25,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-25,2019-06-25
2019-06-26,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-26,2019-06-26
2019-06-27,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-27,2019-06-27
2019-06-28,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-28,2019-06-28
2019-06-29,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-29,2019-06-29
2019-06-30,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-06-30,2019-06-30
2019-07-01,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-01,2019-07-01
2019-07-02,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-02,2019-07-02
2019-07-03,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-03,2019-07-03
2019-07-04,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-04,2019-07-04
2019-07-05,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-05,2019-07-05
2019-07-06,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-06,2019-07-06
2019-07-07,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-07,2019-07-07
2019-07-08,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-08,2019-07-08
2019-07-09,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-09,2019-07-09
2019-07-10,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-10,2019-07-10
2019-07-11,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-11,2019-07-11
2019-07-12,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-12,2019-07-12
2019-07-13,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-13,2019-07-13
2019-07-14,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-14,2019-07-14
2019-07-15,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-15,2019-07-15
2019-07-16,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-16,2019-07-16
2019-07-17,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-17,2019-07-17
2019-07-18,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-18,2019-07-18
2019-07-19,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-19,2019-07-19
2019-07-20,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-20,2019-07-20
2019-07-21,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-21,2019-07-21
2019-07-22,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-22,2019-07-22
2019-07-23,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-23,2019-07-23
2019-07-24,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-24,2019-07-24
2019-07-25,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-25,2019-07-25
2019-07-26,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-26,2019-07-26
2019-07-27,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-27,2019-07-27
2019-07-28,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-28,2019-07-28
2019-07-29,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-29,2019-07-29
2019-07-30,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-30,2019-07-30
2019-07-31,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-07-31,2019-07-31
2019-08-01,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-01,2019-08-01
2019-08-02,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-02,2019-08-02
2019-08-03,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-03,2019-08-03
2019-08-04,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-04,2019-08-04
2019-08-05,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-05,2019-08-05
2019-08-06,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-06,2019-08-06
2019-08-07,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-07,2019-08-07
2019-08-08,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-08,2019-08-08
2019-08-09,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-09,2019-08-09
2019-08-10,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-10,2019-08-10
2019-08-11,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-11,2019-08-11
2019-08-12,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-12,2019-08-12
2019-08-13,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-13,2019-08-13
2019-08-14,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-14,2019-08-14
2019-08-15,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-15,2019-08-15
2019-08-16,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-16,2019-08-16
2019-08-17,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-17,2019-08-17
2019-08-18,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-18,2019-08-18
2019-08-19,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-19,2019-08-19
2019-08-20,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-20,2019-08-20
2019-08-21,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-21,2019-08-21
2019-08-22,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-22,2019-08-22
2019-08-23,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-23,2019-08-23
2019-08-24,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-24,2019-08-24
2019-08-25,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-25,2019-08-25
2019-08-26,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-26,2019-08-26
2019-08-27,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-27,2019-08-27
2019-08-28,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-28,2019-08-28
2019-08-29,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-29,2019-08-29
2019-08-30,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-30,2019-08-30
2019-08-31,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-08-31,2019-08-31
2019-09-01,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-01,2019-09-01
2019-09-02,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-02,2019-09-02
2019-09-03,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-03,2019-09-03
2019-09-04,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-04,2019-09-04
2019-09-05,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-05,2019-09-05
2019-09-06,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-06,2019-09-06
2019-09-07,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-07,2019-09-07
2019-09-08,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-08,2019-09-08
2019-09-09,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-09,2019-09-09
2019-09-10,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-10,2019-09-10
2019-09-11,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-11,2019-09-11
2019-09-12,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-12,2019-09-12
2019-09-13,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-13,2019-09-13
2019-09-14,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-14,2019-09-14
2019-09-15,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-15,2019-09-15
2019-09-16,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-16,2019-09-16
2019-09-17,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-17,2019-09-17
2019-09-18,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-18,2019-09-18
2019-09-19,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-19,2019-09-19
2019-09-20,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-20,2019-09-20
2019-09-21,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-21,2019-09-21
2019-09-22,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-22,2019-09-22
2019-09-23,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-23,2019-09-23
2019-09-24,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-24,2019-09-24
2019-09-25,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-25,2019-09-25
2019-09-26,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-26,2019-09-26
2019-09-27,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-27,2019-09-27
2019-09-28,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-28,2019-09-28
2019-09-29,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-29,2019-09-29
2019-09-30,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-09-30,2019-09-30
2019-10-01,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-10-01,2019-10-01
2019-10-02,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-10-02,2019-10-02
2019-10-03,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-10-03,2019-10-03
2019-10-04,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-10-04,2019-10-04
2019-10-05,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-10-05,2019-10-05
2019-10-06,,,,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-10-06,2019-10-06
2019-10-07,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-10-07,2019-10-07
2019-10-08,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-10-08,2019-10-08
2019-10-09,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-10-09,2019-10-09
2019-10-10,970.0,970.0,970.0,,970.0000000000006,,,,0.0,-2.2737367544323206e-13,,,,Sell,2019-10-10,2019-10-10
